site,item,price,currency,meta,region,device,ts
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=nU%2FXDOWLBjuzJ0s6"", ""from"": ""dom""}",KR,pc,2025-08-18T13:48:41
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=nU%2FXDOWLBjuzJ0s6"", ""from"": ""dom""}",KR,mobile,2025-08-18T13:48:42
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=VYnG9vPS5ACqlhyS"", ""from"": ""dom""}",US,pc,2025-08-18T13:49:01
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166612,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,612\n₩ 166,612\nfinal price: ₩ 137,767\n₩137,767"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=VYnG9vPS5ACqlhyS"", ""from"": ""dom""}",US,mobile,2025-08-18T13:49:02
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=jqDocUJtUWM4BCgN"", ""from"": ""dom""}",KR,pc,2025-08-18T19:37:39
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=jqDocUJtUWM4BCgN"", ""from"": ""dom""}",KR,mobile,2025-08-18T19:37:40
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=o5DRwo1UHuh01Z0E"", ""from"": ""dom""}",US,pc,2025-08-18T19:38:00
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=UybtBqnK%2Bzw9dg8r"", ""from"": ""dom""}",US,mobile,2025-08-18T19:38:01
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=blIbkqiocOMMJ6o0"", ""from"": ""dom""}",KR,pc,2025-08-18T19:42:01
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=blIbkqiocOMMJ6o0"", ""from"": ""dom""}",KR,mobile,2025-08-18T19:42:01
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,141538,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""시작가 ₩ 141,538\n\t\n객실 상품 보기"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=x%2BIIeX0olMgvWTVw"", ""from"": ""dom""}",US,pc,2025-08-18T19:42:21
agoda,/ko-kr/koreana-hotel/hotel/seoul-kr.html,166611,KRW,"{""checkin"": """", ""checkout"": """", ""adults"": ""2"", ""rooms"": ""1"", ""raw_price_text"": ""원래 요금: ₩ 166,611\n₩ 166,611\nfinal price: ₩ 133,354\n₩133,354"", ""url"": ""https://www.agoda.com/ko-kr/koreana-hotel/hotel/seoul-kr.html?checkIn=2025-11-12&los=2&adults=2&rooms=1&currencyCode=USD&cid=1844104&ds=x%2BIIeX0olMgvWTVw"", ""from"": ""dom""}",US,mobile,2025-08-18T19:42:22
