site,route,date,pax,price,currency,meta,region,device,ts
kayak,ICN-BWN,2025-11-12,1,283031,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n283,031원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-20T22:40:57
kayak,ICN-BWN,2025-11-12,1,283031,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n283,031원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,mobile,2025-08-20T22:50:50
kayak,ICN-BWN,2025-11-12,1,283031,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n283,031원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-20T22:51:00
kayak,ICN-BWN,2025-11-12,1,283031,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n283,031원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-20T22:51:09
kayak,ICN-BWN,2025-11-12,1,283031,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n283,031원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,mobile,2025-08-20T22:51:10
kayak,ICN-BWN,2025-11-12,1,283031,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n283,031원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-20T23:00:38
kayak,ICN-BWN,2025-11-12,1,283031,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n283,031원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,mobile,2025-08-20T23:00:50
kayak,ICN-BWN,2025-11-12,1,283031,KRW,"{""raw_card_text"": ""찜하기\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n283,031원\n일반석\n선택"", ""card_index"": 1, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-20T23:01:00
kayak,ICN-BWN,2025-11-12,1,288696,KRW,"{""raw_card_text"": ""가성비 최고\n최저가\n11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n12개 사이트\n일반석\n288,696원"", ""card_index"": 1, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,mobile,2025-08-20T23:01:56
kayak,ICN-BWN,2025-11-12,1,282735,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n282,735원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-21T02:23:50
kayak,ICN-BWN,2025-11-12,1,282735,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n13개 사이트\n일반석\n282,735원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,mobile,2025-08-21T02:23:56
kayak,ICN-BWN,2025-11-12,1,282735,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n282,735원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-21T02:24:24
kayak,ICN-BWN,2025-11-12,1,283757,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n2개 사이트\n일반석\n283,757원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,mobile,2025-08-21T13:23:47
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n282,732원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-21T13:23:55
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n282,732원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-21T13:24:08
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n282,732원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,mobile,2025-08-21T13:24:16
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n282,732원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,mobile,2025-08-21T15:01:14
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n282,732원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",KR,pc,2025-08-21T15:01:14
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""찜\n공유\n11:35 – 16:10\nICN인천국제공항\n-\nBWN브루나이국제공항\n직항\n5시간 35분\n로열브루나이항공\n​상품 14​개, ​최저가\n282,732원\n일반석\n선택"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,pc,2025-08-21T15:01:35
kayak,ICN-BWN,2025-11-12,1,282732,KRW,"{""raw_card_text"": ""11:35\nICN\n5시간 35분\n16:10\nBWN\n로열브루나이항공\n14개 사이트\n일반석\n282,732원"", ""card_index"": 0, ""filters"": {""airline_hint"": null, ""ad_skipped"": true, ""stops"": 0}, ""url"": ""https://www.kayak.co.kr/flights/ICN-BWN/2025-11-12/1adults?fs=stops=0&currency=KRW&lang=ko""}",US,mobile,2025-08-21T15:01:36
